beneficiary_id,snapshot_date,num_past_loans,num_active_loans,avg_loan_amount,avg_loan_tenure_months,loan_disbursal_utilization_ratio,num_late_payments,avg_days_delay,num_defaults,repeat_borrow_freq,repayment_punctuality_rate,avg_monthly_electricity_kwh,electricity_kwh_variance,months_with_zero_electricity,avg_mobile_recharge_amount,avg_mobile_recharge_count,avg_bank_inflow,avg_bank_outflow,avg_bank_balance,upi_txn_count_monthly,upi_txn_value_monthly,age,gender,education_level,household_size,num_dependents,location_type,rural_urban_flag,state,district,asset_land,asset_livestock,asset_durable_goods_score,employment_status,business_type,doc_upload_frequency,avg_upload_delay_days,used_account_aggregator,survey_expense_to_income_ratio,survey_financial_confidence_score,repayment_delay_trend,income_proxy_trend,consumption_volatility_index,seasonality_index,district_avg_income,infra_score,weather_risk_index,govt_survey_poverty_index,default_label,creditworthiness_score,default_flag
BEN_0000,2025-09-30,4,2,38339.14886211643,27.65573891626776,0.9237478177747784,2,7.485918138274627,0,0.6781482969635526,0.9556906374653686,151.00967967456236,34.12942130391946,0,302.21619011873986,3.981722074952661,5965.880410548279,5049.492884261717,2643.233831940004,78,8336.042248863974,32,Female,Primary,2,1,Village,0,Bihar,Surat,1,0,0.4249196191083093,Employed,Agriculture,1.1741972671102712,6.281434757820805,0,0.8472829714978516,5,-0.7827592676193803,1.6135153994659313,0.5115067523465978,0.8890668297228299,11682.552648332545,0.4200277184621918,0.8779308902296497,0.8141358790122647,0,43.67,1
BEN_0001,2025-09-30,1,2,60399.87035498901,34.50322123135827,0.7517133566910178,2,2.761180935106688,0,0.9040571469293708,0.8661891860549198,132.9710616991548,16.086709991643225,2,151.27336479526335,6.3492230342844,5919.810389196975,12314.030612237548,2266.6768346067515,58,5358.019269432492,36,Female,Graduate,3,0,Village,0,Karnataka,Lucknow,1,0,0.9960618771721228,Self-employed,Agriculture,1.291185980622947,0.9404417950110544,0,0.7903583927599631,4,-0.9017571605108504,0.5505400095123123,0.7667313906173336,0.1297852773647391,8920.941065714018,0.1400812079005932,0.7937122503726705,0.6242744505659372,0,29.79,0
BEN_0002,2025-09-30,3,1,43574.82140441208,28.480121179263413,0.6188899505979019,0,0.0,0,0.203936737925847,0.8466952322299611,92.81834998366492,22.76856344876949,0,254.1910320915629,5.672023383988674,9844.395231080154,11386.770420043324,972.5502952214802,76,8737.561299090392,22,Female,Graduate,4,3,City,1,Gujarat,Bangalore,1,1,0.1005767442421571,Unemployed,Service,1.8931408469885445,8.561713044512535,1,0.3618890456716284,2,-0.0133039938096209,-1.0526231556756809,0.9061827155005168,0.6163645648075022,7823.117171231537,0.4885675792261175,0.1254652013724176,0.8623487494491571,0,24.27,1
BEN_0003,2025-09-30,3,2,19295.979699158004,7.84784619967294,0.6705759081881401,1,2.823453354559048,0,0.1461172920655629,0.8503600931695969,136.01873866788122,35.748664367180965,2,198.60515531649952,2.718670279301366,3218.8224321346897,8308.447563625668,786.7322737086183,7,4694.22405982681,21,Female,Graduate,1,2,Town,1,Maharashtra,Pune,1,1,0.881359231086574,Self-employed,Trade,1.2217792745835574,7.699070330116626,0,0.7349697791333138,3,0.0773630136736215,0.8931875286289948,0.9705296007351492,0.6921683937215112,16192.95643684583,0.920098327314242,0.7734598850130467,0.1599515789382944,0,66.35,0
BEN_0004,2025-09-30,1,2,51967.85135515825,21.04375322994912,0.982361268955273,1,6.63060268239774,0,0.9245104856882008,0.7185079343817877,88.2815821965429,45.1306270167421,0,142.67729919485606,2.979934458285851,6773.002462320208,2205.861391657295,2684.249190520329,68,5356.259746680032,34,Female,Postgraduate,1,4,Town,1,Maharashtra,Lucknow,1,1,0.9460498962688788,Self-employed,Manufacturing,0.2911080341164896,5.904915338234477,1,0.9118948548963568,1,0.2726938988822791,-1.1071514447147055,0.426723924601364,0.6577024145572191,4593.948635687643,0.7481889315983149,0.5816045461458056,0.3806632669309986,0,8.04,1
BEN_0005,2025-09-30,2,2,51296.42775617653,23.667132338151514,0.6281621449610056,1,3.025219571830311,0,0.6031932148918471,0.7660578015473151,107.59536676883098,19.199636314021184,2,339.9912073168916,5.8444001558446725,3411.716839901931,5302.302361334279,985.4513665460918,55,5659.731296241452,27,Male,None,5,0,Village,0,Karnataka,Patna,1,0,0.6982272949292792,Unemployed,Service,2.8422899945424787,9.185951311009072,0,0.7881550067799765,1,-1.3958945963597262,0.2688987454794831,0.9900338587684592,0.3160298144962544,13855.07124985817,0.8421773294932667,0.4691075575048237,0.1130161840572596,0,54.58,0
BEN_0006,2025-09-30,1,1,63216.0736043392,22.730066185845025,0.7419724803872065,0,5.990203432401547,0,1.2256011442722616,0.9197160023616858,161.74875782169812,14.696852987434312,2,209.73240019529035,6.880492485925213,10306.233363834868,3938.035680164633,1019.6742955912794,6,6440.008625032101,29,Male,Postgraduate,1,0,Town,0,Bihar,Patna,1,1,0.0099621897353234,Self-employed,Agriculture,1.248237244916057,1.686379076993998,1,0.657778339089095,4,1.2938896058438014,0.2772895031138307,0.2949557117226813,0.8755235232204682,3537.8018078362275,0.8047285933215332,0.5727641184720806,0.2155273109043924,1,2.76,1
BEN_0007,2025-09-30,1,0,73340.00857758806,19.06291859918088,0.8012716668205379,1,9.259311661696696,0,0.0860043308891438,0.7225524147745158,157.32334308260724,31.71631904671351,1,218.8101158930058,4.096846975749015,6991.332757371407,12074.59761902658,1790.534538137628,53,9527.18308398623,22,Male,Postgraduate,2,0,Town,1,Gujarat,Lucknow,1,0,0.8207985840317805,Employed,Trade,1.0280211816512177,6.866573860341668,0,0.5183042994572211,2,-1.3527985214509015,-0.3670585777100469,0.0069759352850601,0.7698053167487472,8437.758844902051,0.389626336440634,0.0080753287724875,0.3945475044848699,0,27.33,0
BEN_0008,2025-09-30,2,0,78686.14114875198,15.758750932291242,0.797312330935424,3,4.720918766620777,0,0.2435327551991308,0.7880080838290787,131.52947031055697,8.02386941462209,2,226.7253774103356,5.571864511060701,9640.24806189237,2728.376209485131,2239.655204167821,35,3904.827703047514,24,Male,Graduate,5,4,Town,0,UP,Bangalore,1,1,0.8822719276107809,Unemployed,Service,1.340166372522014,9.629817776521609,1,0.9209677247101268,2,1.2907012755373546,1.042246347099411,0.7676170438976347,0.5102063416212808,4904.369668662862,0.7089610362978351,0.0677302429710268,0.8945819076593742,0,9.64,1
BEN_0009,2025-09-30,2,1,62962.31320206329,43.20595975567455,0.6015839772048571,2,5.701880458954636,0,1.7303816222127903,0.6078529085550614,77.95403850986933,37.15437656525023,1,222.8478091086058,3.0238615325126315,11748.612918058056,12050.216069605072,3558.1021162168545,78,4680.245228753745,61,Female,Postgraduate,1,1,Town,1,Bihar,Pune,0,1,0.9809341568879338,Unemployed,Agriculture,0.6497870463867673,3.100089645699209,0,0.5959634174987138,2,-0.3228994742332959,0.7536736733085176,0.1784356485411986,0.6032930279384487,7539.943108643487,0.7542562394229976,0.5258492790729812,0.557040669071904,1,22.84,1
